Date,Client,Order Quantity,Material
2019/12/5,c9,11712,12293768
2019/12/5,c9,6895,12246740
2019/12/5,c4,504,12321896
2019/12/5,c3,189,12042081
2019/12/5,c3,110,11000851
2019/12/5,c3,396,11000858
2019/12/5,c3,315,11001186
2019/12/5,c9,4160,12293768
2019/12/5,c2,104,12246740
2019/12/5,c8,1386,11000858
2019/12/5,c10,297,11000858
2019/12/6,c10,210,11001186
2019/12/6,c8,420,12322779
2019/12/6,c8,240,12293768
2019/12/6,c9,3392,12293768
2019/12/6,c3,48,12222902
2019/12/6,c3,104,12246740
2019/12/9,c2,96,12222902
2019/12/9,c6,252,12395525
2019/12/9,c6,105,12322779
2019/12/9,c6,108,12293783
2019/12/9,c6,392,12404641
2019/12/9,c5,42,12246740
2019/12/9,c2,104,12246740
2019/12/10,c10,495,11000858
2019/12/10,c10,220,11000851
2019/12/10,c10,252,11001186
2019/12/10,c10,252,12042081
2019/12/10,c5,42,12042081
2019/12/10,c7,60,12293768
2019/12/12,c5,39,12246740
2019/12/12,c7,504,11001186
2019/12/12,c7,550,11000851
2019/12/13,c7,297,11000858
2019/12/13,c5,63,12042081
2019/12/13,c5,216,12293783
2019/12/13,c7,378,12042081
2019/12/13,c7,630,11001186
2019/12/13,c3,208,12246740
2019/12/13,c5,88,12246740
2019/12/13,c2,96,12222902
2019/12/16,c5,108,12293783
2019/12/16,c10,48,12222902
2019/12/16,c9,4595,12246740
2019/12/16,c3,104,12246740
2019/12/16,c5,126,12042081
2019/12/16,c5,147,11001186
2019/12/16,c7,110,11000851
2019/12/16,c7,99,11000858
2019/12/16,c7,120,12222902
2019/12/16,c7,72,12222902
2019/12/16,c7,126,12042081
2019/12/16,c7,126,11001186
2019/12/16,c7,110,11000851
2019/12/16,c7,99,11000858
2019/12/17,c7,378,12042081
2019/12/17,c7,378,11001186
2019/12/17,c7,550,11000851
2019/12/17,c7,198,11000858
2019/12/17,c7,120,12222902
2019/12/17,c9,180,12246740
2019/12/17,c7,98,12404641
2019/12/17,c7,65,12246740
2019/12/18,c7,528,12271469
2019/12/18,c7,315,12322779
2019/12/18,c10,99,11000858
2019/12/18,c10,66,11000851
2019/12/18,c10,84,11001186
2019/12/18,c7,1320,12271469
2019/12/18,c7,1680,12322779
2019/12/19,c6,198,12320618
2019/12/19,c6,198,12320670
2019/12/19,c6,198,12320619
2019/12/19,c7,240,12293768
2019/12/19,c6,66,12320618
2019/12/19,c6,66,12320670
2019/12/19,c6,132,12320619
2019/12/19,c7,135,12322779
2019/12/19,c4,112,12396696
2019/12/19,c6,252,12042081
2019/12/19,c6,252,11001186
2019/12/19,c6,220,11000851
2019/12/19,c4,112,12396696
2019/12/19,c6,297,11000858
2019/12/19,c3,99,11000851
2019/12/19,c3,84,11001186
2019/12/19,c3,84,12042081
2019/12/19,c3,84,12042081
2019/12/19,c3,104,12246740
2019/12/19,c5,42,12042081
2019/12/19,c5,66,11000851
2019/12/20,c5,66,11000858
2019/12/21,c5,88,11000851
2019/12/21,c3,104,12246740
2019/12/21,c8,288,12222902
2019/12/21,c5,126,12042081
2019/12/21,c5,253,11000858
2019/12/21,c5,396,11000851
2019/12/21,c3,96,12222902
2019/12/21,c6,528,12320618
2019/12/21,c6,264,12320670
2019/12/21,c6,396,12320619
2019/12/21,c6,198,12320618
2019/12/21,c6,198,12320670
2019/12/21,c6,198,12320619
2019/12/21,c4,1764,12321895
2019/12/21,c6,132,12320618
2019/12/21,c6,132,12320670
2019/12/21,c6,132,12320619
2019/12/21,c3,84,11001186
2019/12/21,c3,84,12042081
2019/12/21,c3,104,12246740
2019/12/21,c6,96,12222902
2019/12/21,c6,126,12042081
2019/12/21,c6,126,11001186
2019/12/21,c8,42,12395525
2019/12/21,c8,108,12293783
2019/12/21,c8,98,12404641
2019/12/21,c5,84,12222902
2019/12/21,c8,42,12395525
2019/12/21,c8,2940,12322779
2019/12/21,c6,48,12222902
2019/12/21,c6,126,11001186
2019/12/21,c6,99,11000858
2019/12/21,c6,110,11000851
2019/12/21,c10,144,12222902
2019/12/21,c7,392,12404641
2019/12/21,c10,99,11000858
2019/12/21,c3,20,12293768
2019/12/21,c3,84,12395525
2019/12/21,c3,126,12395525
2019/12/21,c2,48,12222902
2019/12/21,c5,490,12404641
2019/12/21,c5,1274,12404641
2019/12/22,c3,44,11000858
2019/12/22,c3,63,11001186
2019/12/22,c3,48,12222902
2019/12/22,c5,210,12322779
2019/12/22,c5,726,12271469
